code,ym,close,volume,turnover_rate,units
US.XLF,2003-08,20.116703,56355500,0.06283000,896952092.95
US.XLF,2003-09,20.188700,72391000,0.08065000,897594544.33
US.XLF,2003-10,21.596646,54125400,0.06033000,897155643.96
US.XLF,2003-11,21.516650,34193300,0.03815000,896285714.29
US.XLF,2003-12,22.364617,36872400,0.04117000,895613310.66
US.XLF,2004-01,23.100589,61550400,0.06857000,897628700.60
US.XLF,2004-02,23.764564,45585000,0.05083000,896812905.76
US.XLF,2004-03,23.380578,69861100,0.07786000,897265604.93
US.XLF,2004-04,22.356617,111557200,0.12423000,897989213.56
US.XLF,2004-05,22.740603,101114300,0.11263000,897756370.42
US.XLF,2004-06,22.724603,56133700,0.06259000,896847739.26
US.XLF,2004-07,22.236622,53356900,0.05947000,897206995.12
US.XLF,2004-08,22.964594,57109200,0.06368000,896815326.63
US.XLF,2004-09,22.628607,53181700,0.05930000,896824620.57
US.XLF,2004-10,22.748602,82384900,0.09177000,897732374.41
US.XLF,2004-11,23.460575,71208000,0.07937000,897165175.76
US.XLF,2004-12,24.284544,47830700,0.05335000,896545454.55
US.XLF,2005-01,23.756564,75009100,0.08356000,897667544.28
US.XLF,2005-02,23.596570,108686500,0.12107000,897716197.24
US.XLF,2005-03,22.572609,175674600,0.19562000,898040077.70
US.XLF,2005-04,22.612608,179194100,0.19953000,898080990.33
US.XLF,2005-05,23.284582,179144600,0.19947000,898102972.88
US.XLF,2005-06,23.436576,95559400,0.10645000,897692813.53
US.XLF,2005-07,23.804562,91023500,0.10139000,897756188.97
US.XLF,2005-08,23.412577,159545000,0.17768000,897934488.97
US.XLF,2005-09,23.476575,161157100,0.17945000,898061298.41
US.XLF,2005-10,24.196547,205416100,0.22869000,898229480.96
US.XLF,2005-11,25.356503,207994900,0.23157000,898194498.42
US.XLF,2005-12,25.196509,139375700,0.15520000,898039304.12
US.XLF,2006-01,25.420500,184375200,0.20529000,898120707.29
US.XLF,2006-02,25.964479,192661600,0.21449000,898231152.97
US.XLF,2006-03,25.900482,226405100,0.25207000,898183441.11
US.XLF,2006-04,27.028439,163123100,0.18162000,898156040.08
US.XLF,2006-05,26.004478,165945600,0.18480000,897974025.97
US.XLF,2006-06,25.732488,206988500,0.23045000,898192666.52
US.XLF,2006-07,26.324466,161084700,0.17936000,898108273.86
US.XLF,2006-08,26.636454,146502300,0.16317000,897850707.85
US.XLF,2006-09,27.556419,111869700,0.12461000,897758606.85
US.XLF,2006-10,28.204394,130919700,0.14580000,897940329.22
US.XLF,2006-11,28.404386,102970300,0.11469000,897814107.59
US.XLF,2006-12,29.252354,101084800,0.11257000,897972816.91
US.XLF,2007-01,29.524343,119777400,0.13338000,898016194.33
US.XLF,2007-02,28.620378,203170400,0.22620000,898189213.09
US.XLF,2007-03,28.364388,413849700,0.46065000,898403777.27
US.XLF,2007-04,29.468346,250439100,0.27881000,898242889.42
US.XLF,2007-05,30.180318,250509000,0.27888000,898268072.29
US.XLF,2007-06,28.804371,407861900,0.45399000,898394017.49
US.XLF,2007-07,26.180471,910435800,1.01329000,898494804.05
US.XLF,2007-08,26.860445,1308562200,1.45636000,898515614.27
US.XLF,2007-09,27.316428,854392200,0.95091000,898499542.54
US.XLF,2007-10,26.844446,1119474200,1.24592000,898512103.51
US.XLF,2007-11,24.660529,921655400,1.02577000,898501028.50
